1,Inter,46,20,15,1,4,43,17
2,Milan,43,20,12,7,1,33,16
3,Napoli,40,20,12,4,4,30,17
4,Juve,39,20,11,6,3,32,16
5,Roma,39,20,13,0,7,24,12
6,Como,34,20,9,7,4,28,16
7,Atalanta,31,20,8,7,5,25,19
8,Bologna,30,20,8,6,6,29,22
9,Lazio,28,20,7,7,6,21,16
10,Udinese,26,20,7,5,8,22,32
11,Sassuolo,23,20,6,5,9,23,27
12,Torino,23,20,6,5,9,21,32
13,Cremonese,22,20,5,7,8,20,28
14,Parma,22,20,5,7,8,14,22
15,Genoa,19,20,4,7,9,22,29
16,Cagliari,19,20,4,7,9,21,30
17,Lecce,17,20,4,5,11,13,28
18,Fiorentina,14,20,2,8,10,21,31
19,Pisa,13,20,1,10,9,15,30
20,Verona,13,20,2,7,11,17,34
